Date,Dividends
2018-04-05,0.56
2019-04-04,0.8
2020-04-03,0.9
2016-10-04,0.48
2017-10-05,0.56
2018-10-04,0.8
2019-10-03,0.9
2016-07-01,0.48
2020-10-05,0.9
2017-07-03,0.5
2017-01-04,0.48
2018-07-05,0.56
2018-01-04,0.56
2019-07-03,0.8
2019-01-03,0.8
2020-01-03,0.9
2020-07-02,0.9
2016-04-04,0.44
2021-01-05,0.9
2017-04-04,0.5
