Year,Avg Price,Change in Price,Div Yield,Div Growth Rate
T (2016),,,,
T (2017),40.68041645833333,,,
T (2018),37.823333375000004,-0.07023239514422569,,
T (2019),31.702917083333332,-0.16181588838259475,,
T (2020),35.114583333333336,0.10761363823499902,,
T (2021),29.21249979166667,-0.16808069415603677,,
