Date,Dividends
2018-04-09,0.5
2019-04-09,0.51
2020-04-08,0.52
2016-10-05,0.48
2017-10-06,0.49
2018-10-09,0.5
2019-10-09,0.51
2016-07-06,0.48
2020-10-08,0.52
2017-07-06,0.49
2017-01-06,0.49
2018-07-09,0.5
2018-01-09,0.5
2019-07-09,0.51
2019-01-09,0.51
2020-01-09,0.52
2020-07-09,0.52
2016-04-06,0.48
2021-01-08,0.52
2017-04-06,0.49
