Date,Dividends
2017-03-13,0.37
2016-09-13,0.35
2018-03-14,0.39
2017-09-14,0.37
2019-03-14,0.4
2018-09-13,0.39
2019-09-13,0.4
2020-03-13,0.41
2020-09-14,0.41
2016-06-13,0.35
2017-06-13,0.37
2018-06-14,0.39
2019-06-13,0.4
2020-06-12,0.41
2016-11-29,0.35
2017-11-30,0.37
2018-11-29,0.39
2019-11-29,0.4
2016-03-11,0.35
2020-11-30,0.41
