Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,46.139999,47.130001,42.869999,44.799999,38.324696,317337800
2016-05-01,44.570000,45.900002,43.939999,44.599998,38.153603,230295800
2016-06-01,44.599998,46.009998,43.320000,45.330002,38.778095,265492600
2016-07-01,45.330002,45.939999,43.099998,43.630001,37.610035,235959400
2016-08-01,43.689999,44.330002,43.080002,43.430000,37.437634,235118300
2016-09-01,43.209999,43.830002,41.849998,42.320000,36.480793,251007200
2016-10-01,42.310001,43.029999,41.400002,42.400002,36.848354,264839100
2016-11-01,42.400002,42.980000,40.349998,40.349998,35.066776,316557000
2016-12-01,40.310001,42.220001,39.880001,41.459999,36.336040,283871000
2017-01-01,41.500000,42.250000,40.689999,41.570000,36.432453,240343500
2017-02-01,41.520000,42.150002,40.220001,41.959999,36.774254,333983800
2017-03-01,42.009998,42.700001,41.740002,42.439999,37.194927,339185400
2017-04-01,42.580002,43.790001,42.270000,43.150002,38.150974,232465400
2017-05-01,43.150002,45.700001,43.099998,45.470001,40.202190,250453800
2017-06-01,45.450001,46.060001,44.650002,44.849998,39.654022,241609300
2017-07-01,45.110001,46.430000,44.150002,45.840000,40.862865,195369200
2017-08-01,45.970001,46.340000,45.250000,45.549999,40.604355,208673800
2017-09-01,45.639999,46.980000,44.380001,45.009998,40.122982,197449400
2017-10-01,45.049999,46.790001,44.750000,45.980000,41.313805,192361800
2017-11-01,45.750000,47.480000,45.029999,45.770000,41.125118,217681900
2017-12-01,45.799999,46.480000,44.919998,45.880001,41.561928,207945400
2018-01-01,45.910000,48.619999,45.340000,47.590000,43.110989,256417300
2018-02-01,47.410000,47.730000,42.189999,43.220001,39.152279,292809500
2018-03-01,43.099998,45.090000,42.250000,43.430000,39.342510,278776900
2018-04-01,43.439999,45.029999,41.910000,43.209999,39.488754,256838800
2018-05-01,42.959999,43.279999,41.450001,43.000000,39.296841,252954800
2018-06-01,43.099998,44.520000,42.959999,43.860001,40.082783,259306900
2018-07-01,43.779999,46.669998,43.580002,46.630001,42.993759,207676200
2018-08-01,46.450001,46.869999,44.389999,44.570000,41.094398,231152100
2018-09-01,44.599998,46.689999,44.509998,46.189999,42.588066,193542300
2018-10-01,46.169998,48.080002,44.250000,47.880001,44.521786,326355300
2018-11-01,47.810001,50.840000,47.299999,50.400002,46.865040,279957400
2018-12-01,49.869999,50.509998,45.660000,47.349998,44.377117,308108600
2019-01-01,46.939999,48.779999,46.340000,48.130001,45.108147,290752700
2019-02-01,48.480000,49.939999,44.419998,45.340000,42.493324,388570200
2019-03-01,45.470001,46.919998,44.610001,46.860001,43.917889,363961200
2019-04-01,46.990002,49.180000,46.040001,49.060001,46.381153,238015200
2019-05-01,48.950001,49.900002,47.070000,49.130001,46.447330,258269900
2019-06-01,49.160000,52.200001,49.020000,50.919998,48.139591,248586800
2019-07-01,51.070000,54.820000,50.779999,52.630001,50.144634,257685900
2019-08-01,52.779999,55.340000,51.400002,55.040001,52.440826,271904100
2019-09-01,54.980000,55.919998,53.630001,54.439999,51.869160,216515600
2019-10-01,54.529999,55.389999,52.820000,54.430000,52.238796,245853900
2019-11-01,54.630001,54.740002,51.580002,53.400002,51.250259,226002600
2019-12-01,53.320000,55.450001,52.849998,55.349998,53.518559,230590700
2020-01-01,55.320000,59.080002,54.090000,58.400002,56.467640,286856700
2020-02-01,58.750000,60.130001,51.580002,53.490002,51.720104,245603500
2020-03-01,53.930000,59.000000,36.270000,44.250000,42.785843,693439800
2020-04-01,42.480000,49.730000,41.799999,45.889999,44.760712,395217800
2020-05-01,45.619999,47.459999,43.200001,46.680000,45.531273,382777000
2020-06-01,46.660000,49.970001,43.509998,44.680000,43.580494,399229500
2020-07-01,44.930000,49.279999,43.830002,47.240002,46.496105,369300300
2020-08-01,47.139999,50.070000,46.220001,49.529999,48.750042,252190900
2020-09-01,49.310001,52.139999,47.560001,49.369999,48.592560,341640700
2020-10-01,49.439999,51.529999,47.299999,48.060001,47.686100,292194600
2020-11-01,48.750000,54.619999,48.240002,51.599998,51.198555,339327300
2020-12-01,52.139999,54.930000,51.639999,54.840000,54.840000,303488400
2021-01-01,54.270000,54.630001,48.110001,48.150002,48.150002,457208100
2021-02-01,48.270000,51.509998,48.180000,48.990002,48.990002,300908800
2021-03-01,49.439999,52.490002,49.400002,51.439999,51.439999,153834500
