Date,Dividends
2017-03-29,0.95
2016-09-28,0.9
2018-03-28,1.0
2017-09-28,0.95
2019-03-28,1.05
2018-09-27,1.0
2019-09-27,1.05
2020-03-30,1.103
2020-09-29,1.103
2016-06-28,0.9
2016-12-28,0.9
2017-06-28,0.95
2017-12-28,0.95
2018-06-28,1.0
2019-06-27,1.05
2018-12-28,1.0
2019-12-30,1.05
2020-06-29,1.103
2020-12-30,1.103
2016-03-29,0.9
