Date,Open,Close,Avg,Div,Div Yield
2016-03-11,,,,0.35,
2016-04-01,46.139998999999996,44.799999,45.469999,,
2016-05-01,44.57,44.599998,44.584998999999996,,
2016-06-01,44.599998,45.330002,44.965,,
2016-06-13,,,,0.35,0.007776625800275897
2016-07-01,45.330002,43.630001,44.4800015,,
2016-08-01,43.689999,43.43,43.5599995,,
2016-09-01,43.209998999999996,42.32,42.7649995,,
2016-09-13,,,,0.35,0.008027216054328136
2016-10-01,42.310001,42.400002,42.3550015,,
2016-11-01,42.400002,40.349998,41.375,,
2016-11-29,,,,0.35,0.008360205272419588
2016-12-01,40.310001,41.459998999999996,40.885,,
2017-01-01,41.5,41.57,41.535,,
2017-02-01,41.52,41.959998999999996,41.739999499999996,,
2017-03-01,42.009997999999996,42.439999,42.2249985,,
2017-03-13,,,,0.37,0.008895032712023713
2017-04-01,42.580002,43.150002,42.865002000000004,,
2017-05-01,43.150002,45.470001,44.3100015,,
2017-06-01,45.450001,44.849998,45.1499995,,
2017-06-13,,,,0.37,0.008388437368862179
2017-07-01,45.110001000000004,45.84,45.47500050000001,,
2017-08-01,45.970001,45.549999,45.760000000000005,,
2017-09-01,45.639998999999996,45.009997999999996,45.32499849999999,,
2017-09-14,,,,0.37,0.008128295314354828
2017-10-01,45.049999,45.98,45.5149995,,
2017-11-01,45.75,45.77,45.760000000000005,,
2017-11-30,,,,0.37,0.00810736788883795
2017-12-01,45.799999,45.880001,45.84,,
2018-01-01,45.91,47.59,46.75,,
2018-02-01,47.41,43.220001,45.3150005,,
2018-03-01,43.099998,43.43,43.264999,,
2018-03-14,,,,0.39,0.008610697159051436
2018-04-01,43.439999,43.209998999999996,43.324999,,
2018-05-01,42.959998999999996,43.0,42.9799995,,
2018-06-01,43.099998,43.860001000000004,43.479999500000005,,
2018-06-14,,,,0.39,0.009014909411949138
2018-07-01,43.779999,46.630001,45.205,,
2018-08-01,46.450001,44.57,45.510000500000004,,
2018-09-01,44.599998,46.189999,45.3949985,,
2018-09-13,,,,0.39,0.008595988601836664
2018-10-01,46.169998,47.880001,47.0249995,,
2018-11-01,47.810001,50.400002,49.1050015,,
2018-11-29,,,,0.39,0.008114012190637553
2018-12-01,49.869999,47.349998,48.6099985,,
2019-01-01,46.939999,48.130001,47.535,,
2019-02-01,48.48,45.34,46.91,,
2019-03-01,45.470001,46.860001000000004,46.165001000000004,,
2019-03-14,,,,0.4,0.008455765797631767
2019-04-01,46.990002000000004,49.060001,48.0250015,,
2019-05-01,48.950001,49.130001,49.040001000000004,,
2019-06-01,49.16,50.919998,50.039998999999995,,
2019-06-13,,,,0.4,0.008157438481111058
2019-07-01,51.07,52.630001,51.8500005,,
2019-08-01,52.779999,55.040001000000004,53.91,,
2019-09-01,54.98,54.439999,54.709999499999995,,
2019-09-13,,,,0.4,0.007478033277248086
2019-10-01,54.529999,54.43,54.4799995,,
2019-11-01,54.630001,53.400002,54.0150015,,
2019-11-29,,,,0.4,0.0073736116192118385
2019-12-01,53.32,55.349998,54.334998999999996,,
2020-01-01,55.32,58.400002,56.860001,,
2020-02-01,58.75,53.490002000000004,56.120001,,
2020-03-01,53.93,44.25,49.09,,
2020-03-13,,,,0.41,0.007578383089215207
2020-04-01,42.48,45.889998999999996,44.184999499999996,,
2020-05-01,45.619999,46.68,46.1499995,,
2020-06-01,46.66,44.68,45.67,,
2020-06-12,,,,0.41,0.009043785221453514
2020-07-01,44.93,47.240002000000004,46.085001000000005,,
2020-08-01,47.139998999999996,49.529999,48.334998999999996,,
2020-09-01,49.310001,49.369999,49.34,,
2020-09-14,,,,0.41,0.008555926544240401
2020-10-01,49.439999,48.060001,48.75,,
2020-11-01,48.75,51.599998,50.174999,,
2020-11-30,,,,0.41,0.008289107993824695
2020-12-01,52.139998999999996,54.84,53.489999499999996,,
2021-01-01,54.27,48.150002,51.210001000000005,,
2021-02-01,48.27,48.990002000000004,48.63000100000001,,
2021-03-01,49.439999,51.439999,50.439999,,
