Date,Open,Close,Avg,Div,Div Yield
2016-03-29,,,,0.9,
2016-04-01,66.389999,68.089996,67.2399975,,
2016-05-01,68.43,69.83000200000001,69.13000100000001,,
2016-06-01,69.559998,75.089996,72.324997,,
2016-06-28,,,,0.9,0.012937540708780436
2016-07-01,75.32,78.57,76.945,,
2016-08-01,78.459999,80.279999,79.369999,,
2016-09-01,80.510002,78.480003,79.4950025,,
2016-09-28,,,,0.9,0.011449896029961222
2016-10-01,78.290001,75.760002,77.0250015,,
2016-11-01,75.260002,70.760002,73.010002,,
2016-12-01,70.300003,74.16999799999999,72.2350005,,
2016-12-28,,,,0.9,0.012147388092907037
2017-01-01,74.550003,73.989998,74.27000050000001,,
2017-02-01,74.050003,75.720001,74.885002,,
2017-03-01,75.370003,72.629997,74.0,,
2017-03-29,,,,0.95,0.012771391938659317
2017-04-01,72.599998,73.16999799999999,72.884998,,
2017-05-01,73.370003,75.519997,74.445,,
2017-06-01,75.440002,79.199997,77.3199995,,
2017-06-28,,,,0.95,0.012686401209508138
2017-07-01,79.529999,77.25,78.3899995,,
2017-08-01,77.440002,80.18,78.810001,,
2017-09-01,80.33000200000001,77.290001,78.8100015,,
2017-09-28,,,,0.95,0.01207575939938342
2017-10-01,77.300003,76.190002,76.7450025,,
2017-11-01,76.43,78.0,77.215,,
2017-12-01,78.290001,75.379997,76.83499900000001,,
2017-12-28,,,,0.95,0.012348620990390035
2018-01-01,75.550003,70.529999,73.040001,,
2018-02-01,70.550003,64.870003,67.710003,,
2018-03-01,64.41999799999999,67.290001,65.85499949999999,,
2018-03-28,,,,1.0,0.014520461504699234
2018-04-01,67.32,68.269997,67.79499849999999,,
2018-05-01,68.300003,73.82,71.0600015,,
2018-06-01,73.889999,73.68,73.7849995,,
2018-06-28,,,,1.0,0.014108352177643793
2018-07-01,73.639999,74.839996,74.2399975,,
2018-08-01,74.279999,79.25,76.7649995,,
2018-09-01,79.029999,75.589996,77.30999750000001,,
2018-09-27,,,,1.0,0.013139741463629537
2018-10-01,75.66999799999999,73.459999,74.5649985,,
2018-11-01,73.620003,77.980003,75.800003,,
2018-12-01,78.150002,75.540001,76.8450015,,
2018-12-28,,,,1.0,0.013203644031464583
2019-01-01,75.010002,83.260002,79.135002,,
2019-02-01,83.43,78.029999,80.7299995,,
2019-03-01,78.150002,78.550003,78.3500025,,
2019-03-28,,,,1.05,0.013223348433585651
2019-04-01,78.58000200000001,75.43,77.00500100000001,,
2019-05-01,75.809998,78.550003,77.1800005,,
2019-06-01,79.099998,78.029999,78.5649985,,
2019-06-27,,,,1.05,0.013533834586466167
2019-07-01,78.290001,79.379997,78.83499900000001,,
2019-08-01,79.709999,82.959999,81.334999,,
2019-09-01,83.08000200000001,82.389999,82.73500050000001,,
2019-09-27,,,,1.05,0.012968032850093859
2019-10-01,82.32,85.790001,84.0550005,,
2019-11-01,85.760002,80.989998,83.375,,
2019-12-01,81.0,81.480003,81.2400015,,
2019-12-30,,,,1.05,0.012667390415672254
2020-01-01,81.769997,84.379997,83.074997,,
2020-02-01,84.599998,81.730003,83.16500049999999,,
2020-03-01,81.83000200000001,49.52,65.67500100000001,,
2020-03-30,,,,1.103,0.014268158684872639
2020-04-01,46.27,55.060001,50.665000500000005,,
2020-05-01,53.0,55.490002000000004,54.245001,,
2020-06-01,55.59,60.720001,58.1550005,,
2020-06-29,,,,1.103,0.020292521138288156
2020-07-01,60.799999,62.0,61.3999995,,
2020-08-01,61.740002000000004,62.25,61.995001,,
2020-09-01,61.610001000000004,60.27,60.940000500000004,,
2020-09-29,,,,1.103,0.017951013003764813
2020-10-01,60.299999,56.049999,58.174999,,
2020-11-01,56.34,64.660004,60.500002,,
2020-12-01,65.309998,69.16999799999999,67.23999799999999,,
2020-12-30,,,,1.103,0.017798456379519975
2021-01-01,69.199997,64.839996,67.01999649999999,,
2021-02-01,65.0,68.269997,66.6349985,,
2021-03-01,69.660004,74.66999799999999,72.16500099999999,,
