Date,Open,Close,Avg,Div,Div Yield
2016-04-01,150.509995,145.940002,148.2249985,,
2016-05-01,146.559998,153.740005,150.1500015,,
2016-05-06,,,,1.4,0.00469208211143695
2016-06-01,153.0,151.779999,152.3899995,,
2016-07-01,151.779999,160.619995,156.199997,,
2016-08-01,160.649994,158.880005,159.7649995,,
2016-08-08,,,,1.4,0.008967556737667425
2016-09-01,158.320007,158.850006,158.58500650000002,,
2016-10-01,158.059998,153.690002,155.875,,
2016-11-01,153.5,162.220001,157.8600005,,
2016-11-08,,,,1.4,0.008892276290976595
2016-12-01,161.949997,165.990005,163.970001,,
2017-01-01,167.0,174.520004,170.760002,,
2017-02-01,175.0,179.820007,177.41000350000002,,
2017-02-08,,,,1.4,0.008200882467087639
2017-03-01,180.479996,174.139999,177.3099975,,
2017-04-01,173.820007,160.28999299999998,167.055,,
2017-05-01,160.050003,152.630005,156.34000400000002,,
2017-05-08,,,,1.5,0.008987327840782513
2017-06-01,152.800003,153.830002,153.3150025,,
2017-07-01,153.580002,144.669998,149.125,,
2017-08-01,145.0,143.029999,144.0149995,,
2017-08-08,,,,1.5,0.010079403254171627
2017-09-01,142.979996,145.080002,144.029999,,
2017-10-01,145.350006,154.059998,149.705002,,
2017-11-01,154.100006,153.970001,154.03500350000002,,
2017-11-09,,,,1.5,0.010049802252888512
2017-12-01,154.399994,153.419998,153.90999599999998,,
2018-01-01,154.5,163.699997,159.0999985,,
2018-02-01,163.190002,155.830002,159.510002,,
2018-02-08,,,,1.5,0.00952340648720038
2018-03-01,155.529999,153.429993,154.479996,,
2018-04-01,153.33999599999999,144.96000700000002,149.1500015,,
2018-05-01,144.649994,141.309998,142.979996,,
2018-05-09,,,,1.57,0.01054611421273537
2018-06-01,142.429993,139.699997,141.064995,,
2018-07-01,138.279999,144.929993,141.604996,,
2018-08-01,144.759995,146.479996,145.61999550000002,,
2018-08-09,,,,1.57,0.010997221855430889
2018-09-01,145.979996,151.21000700000002,148.59500150000002,,
2018-10-01,151.71000700000002,115.43,133.5700035,,
2018-11-01,115.5,124.269997,119.8849985,,
2018-11-08,,,,1.57,0.011714960723784697
2018-12-01,125.66999799999999,113.66999799999999,119.66999799999999,,
2019-01-01,112.010002,134.419998,123.215,,
2019-02-01,134.970001,138.130005,136.550003,,
2019-02-07,,,,1.57,0.012413193267850375
2019-03-01,139.309998,141.100006,140.205002,,
2019-04-01,141.509995,140.270004,140.8899995,,
2019-05-01,140.550003,126.989998,133.7700005,,
2019-05-09,,,,1.62,0.01171465410813323
2019-06-01,127.099998,137.899994,132.499996,,
2019-07-01,139.600006,148.240005,143.9200055,,
2019-08-01,148.899994,135.529999,142.21499649999998,,
2019-08-08,,,,1.62,0.011609158391482598
2019-09-01,134.850006,145.419998,140.135002,,
2019-10-01,145.58999599999999,133.729996,139.65999599999998,,
2019-11-01,134.5,134.449997,134.4749985,,
2019-11-07,,,,1.62,0.011731479569025465
2019-12-01,134.449997,134.03999299999998,134.244995,,
2020-01-01,135.0,143.729996,139.364998,,
2020-02-01,144.25,130.149994,137.199997,,
2020-02-07,,,,1.62,0.011830286795119077
2020-03-01,130.75,110.93,120.84,,
2020-04-01,106.360001,125.559998,115.9599995,,
2020-05-01,123.190002,124.900002,124.04500200000001,,
2020-05-07,,,,1.63,0.013551524836627117
2020-06-01,124.639999,120.769997,122.704998,,
2020-07-01,120.269997,122.940002,121.6049995,,
2020-08-01,123.5,123.309998,123.404999,,
2020-08-07,,,,1.63,0.013298342592889055
2020-09-01,122.849998,121.66999799999999,122.259998,,
2020-10-01,122.360001,111.660004,117.0100025,,
2020-11-01,112.650002,123.519997,118.08499950000001,,
2020-11-09,,,,1.63,0.013683871780162582
2020-12-01,123.900002,125.879997,124.8899995,,
2021-01-01,125.849998,119.110001,122.47999949999999,,
2021-02-01,119.900002,118.93,119.415001,,
2021-02-09,,,,1.63,0.01333206101667189
2021-03-01,120.349998,127.870003,124.1100005,,
